Name,Total Repos,New Repos,% Increase rate,Update Repos,% Update Rate,Sleeping Repos,Star 100+,Star 1000+,Sum Top30 Stars,Fork 100+,Fork 1000+,Sum Top30 Forks,Total Users,Followers 100+,Repos per User
Bluespec,131,0,0.00,1,0.76,80,0,0,308,0,0,152,46,0,2.85
Dylan,126,0,0.00,1,0.79,114,1,0,409,0,0,150,17,0,7.41
Fantom,116,0,0.00,1,0.86,52,0,0,92,0,0,37,8,0,14.50
ATS,114,0,0.00,2,1.75,63,2,0,542,0,0,75,14,1,8.14
Volt,114,0,0.00,0,0.00,67,0,0,137,0,0,64,18,0,6.33
Pike,106,0,0.00,0,0.00,92,0,0,114,0,0,56,15,0,7.07
Nu,75,0,0.00,0,0.00,75,0,0,286,0,0,74,8,0,9.38
XProc,74,0,0.00,1,1.35,44,0,0,111,0,0,47,10,0,7.40
Opa,73,0,0.00,0,0.00,70,0,0,336,0,0,103,17,0,4.29
Mirah,69,0,0.00,0,0.00,69,1,0,342,0,0,56,6,0,11.50
Parrot,67,0,0.00,1,1.49,59,0,0,413,0,0,81,24,0,2.79
Oxygene,65,0,0.00,0,0.00,65,0,0,81,0,0,50,31,0,2.10
PogoScript,50,0,0.00,0,0.00,44,1,0,288,0,0,68,5,0,10.00
Augeas,49,0,0.00,0,0.00,38,1,0,371,1,0,201,26,0,1.88
wisp,28,0,0.00,0,0.00,26,1,0,885,0,0,67,0,0,0.00
Fancy,19,0,0.00,0,0.00,18,1,0,287,0,0,34,2,0,9.50
Arduino,0,64332,+Inf,212777,+Inf,23805735,126703,16297,0,43980,2859,0,0,25787,0.00
Nimrod,0,64254,+Inf,210780,+Inf,26270669,126704,16297,0,43982,2859,0,0,25787,0.00

